flavor,mass_GeV,boundary,baseline_u2,baseline_open,item,classification,scenario_low_shift_pct,scenario_high_shift_pct,low_boundary_exists,high_boundary_exists,note
Ue,0.2,lower,2.865227084036974e-07,False,fonll_charm_scale_pdf,literature-informed range,0.089420321214706,-0.11124225611706118,True,True,Scale D-meson production by 0.6-1.5; scale the induced-tau channel by the 57.4% charm-source fraction of the current tau pool. Literature-informed envelope pending actual seven-point/PDF grids.
Ue,0.2,upper,,True,fonll_charm_scale_pdf,literature-informed range,,,False,False,Scale D-meson production by 0.6-1.5; scale the induced-tau channel by the 57.4% charm-source fraction of the current tau pool. Literature-informed envelope pending actual seven-point/PDF grids.
Ue,0.2,lower,2.865227084036974e-07,False,fonll_bottom_scale_pdf,literature-informed range,0.0220111260150313,-0.02198806846664958,True,True,Scale B-meson production by 0.7-1.3 and the bottom-source share of induced taus. Literature-informed envelope pending actual grids.
Ue,0.2,upper,,True,fonll_bottom_scale_pdf,literature-informed range,,,False,False,Scale B-meson production by 0.7-1.3 and the bottom-source share of induced taus. Literature-informed envelope pending actual grids.
Ue,0.2,lower,2.865227084036974e-07,False,missing_charm_baryon_channels,proxy/reweight estimate,-0.033199972920860965,-0.11046272867032414,True,True,Add 15-50% of the D-meson accepted yield as a proxy for omitted Lambda_c/Xi_c HNL production. The range is not a calculation.
Ue,0.2,upper,,True,missing_charm_baryon_channels,proxy/reweight estimate,,,False,False,Add 15-50% of the D-meson accepted yield as a proxy for omitted Lambda_c/Xi_c HNL production. The range is not a calculation.
Ue,0.2,lower,2.865227084036974e-07,False,bc_spectrum_and_normalization,unknowable; factor scenario,4.3880182887257035e-05,-8.776009082778202e-05,True,True,Scale Bc by 0.5-2.0. This is a scenario because neither its 14 TeV normalization nor its borrowed spectrum is validated.
Ue,0.2,upper,,True,bc_spectrum_and_normalization,unknowable; factor scenario,,,False,False,Scale Bc by 0.5-2.0. This is a scenario because neither its 14 TeV normalization nor its borrowed spectrum is validated.
Ue,0.2,lower,2.865227084036974e-07,False,kaon_spectrum_and_normalization,unknowable; factor scenario,40.903794873366465,-29.010109403623296,True,True,Scale K production by 0.5-2.0. This is a scenario because the current Tsallis/Gaussian spectrum and 300 mb normalization are not data-derived.
Ue,0.2,upper,,True,kaon_spectrum_and_normalization,unknowable; factor scenario,,,False,False,Scale K production by 0.5-2.0. This is a scenario because the current Tsallis/Gaussian spectrum and 300 mb normalization are not data-derived.
Ue,0.2,lower,2.865227084036974e-07,False,missing_neutral_kaon_production,unknowable; additive proxy,-2.4852918217038056,-18.19667786131808,True,True,"Add 5-50% of the charged-kaon accepted yield below the K0 semileptonic endpoint as a K0S/K0L production proxy. Neutral-kaon flux and transport are absent, so this is one-sided and not a calculation."
